Entry	Entry name	Status	Protein names	Gene names	Organism	Length
G2J5T2	G2J5T2_HELPY	unreviewed	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)	hp1018/19	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	475
Q8KT33	Q8KT33_HELPY	unreviewed	Urea amidohydrolase (EC 3.5.1.5) (Urease) (Fragment)	ureB	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	377
V6B5V1	V6B5V1_HELPY	unreviewed	Proteolysis tag peptide encoded by tmRNA Helic_pylor_26695 (Fragment)	tmRNA Helic_pylor_26695	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	14
A0A0M3KL20	A0A0M3KL20_HELPY	unreviewed	Alpha-carbonic anhydrase	C694_06140	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	234
O25448	O25448_HELPY	unreviewed	Flagellar secretion chaperone FliS	HP_0753	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	126
O25282	O25282_HELPY	unreviewed	Uncharacterized protein	HP_0556	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	145
O25327	O25327_HELPY	unreviewed	Membrane fusion protein (MtrC)	HP_0606	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	234
O25227	O25227_HELPY	unreviewed	Uncharacterized protein	HP_0482	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	170
O25864	O25864_HELPY	unreviewed	Paralysed flagella protein (PflA)	HP_1274	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	801
O25628	O25628_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0977	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	487
O25955	O25955_HELPY	unreviewed	Uncharacterized protein	HP_1405	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	34
O25316	O25316_HELPY	unreviewed	Uncharacterized protein	HP_0594	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	54
O25220	O25220_HELPY	unreviewed	Molybdenum transport system permease	HP_0474	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	224
O25542	O25542_HELPY	unreviewed	Uncharacterized protein	HP_0874	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	291
O25510	O25510_HELPY	unreviewed	Outer membrane protein P1 (OmpP1)	HP_0839	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	587
O24914	O24914_HELPY	unreviewed	Uncharacterized protein	HP_0087	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	457
O25245	O25245_HELPY	unreviewed	Uncharacterized protein	HP_0504	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	49
O25317	O25317_HELPY	unreviewed	Uncharacterized protein	HP_0595	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	490
O26077	O26077_HELPY	unreviewed	DNA helicase (EC 3.6.4.12)	HP_1553	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	945
O25933	O25933_HELPY	unreviewed	NUC domain-containing protein	HP_1382	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	130
O25588	O25588_HELPY	unreviewed	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE HP_0934	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	251
O25400	O25400_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0693	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	454
O25592	O25592_HELPY	unreviewed	DUF262 domain-containing protein	HP_0938	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	115
O25038	O25038_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0257	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	219
O25575	O25575_HELPY	unreviewed	Uncharacterized protein	HP_0917	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	23
O25430	O25430_HELPY	unreviewed	Uncharacterized protein	HP_0730	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	101
O25464	O25464_HELPY	unreviewed	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	HP_0772	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	440
O25419	O25419_HELPY	unreviewed	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX HP_0717	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	578
O25442	O25442_HELPY	unreviewed	Uncharacterized protein	HP_0746	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	419
O25764	O25764_HELPY	unreviewed	NYN domain-containing protein	HP_1145	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	103
O25107	O25107_HELPY	unreviewed	Uncharacterized protein	HP_0340	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	88
O25848	O25848_HELPY	unreviewed	Conserved hypothetical mitochondrial protein 4	HP_1258	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	154
O25495	O25495_HELPY	unreviewed	Uncharacterized protein	HP_0817	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	148
O25604	O25604_HELPY	unreviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD HP_0950	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	289
O25380	O25380_HELPY	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HP_0669	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	933
O25229	O25229_HELPY	unreviewed	Catalase-related peroxidase (EC 1.11.1.-)	HP_0485	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	314
O25630	O25630_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0980	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	100
O25241	O25241_HELPY	unreviewed	Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) (Phosphatidylcholine 1-acylhydrolase)	HP_0499	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	355
O25277	O25277_HELPY	unreviewed	Cag pathogenicity island protein (Cag24)	HP_0545	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	207
O24893	O24893_HELPY	unreviewed	Uncharacterized protein	HP_0052	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	330
O26063	O26063_HELPY	unreviewed	Uncharacterized protein	HP_1537	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	228
O25262	O25262_HELPY	unreviewed	Cag pathogenicity island protein (Cag7)	HP_0527	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	1927
O26097	O26097_HELPY	unreviewed	ABC transporter, permease protein (YaeE)	HP_1577	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	215
O25472	O25472_HELPY	unreviewed	Uncharacterized protein	HP_0783	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	165
O25638	O25638_HELPY	unreviewed	Uncharacterized protein	HP_0990	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	222
O25352	O25352_HELPY	unreviewed	Uncharacterized protein	HP_0635	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	512
O25023	O25023_HELPY	unreviewed	Octaprenyl-diphosphate synthase (IspB)	HP_0240	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	307
O25591	O25591_HELPY	unreviewed	DUF1524 domain-containing protein	HP_0937	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	264
O25663	O25663_HELPY	unreviewed	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)	HP_1019	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	443
O25715	O25715_HELPY	unreviewed	Uncharacterized protein	HP_1083	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	479
O24949	O24949_HELPY	unreviewed	LUD_dom domain-containing protein	HP_0137	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	211
O25717	O25717_HELPY	unreviewed	Uncharacterized protein	HP_1085	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	171
O25674	O25674_HELPY	unreviewed	Flagellar motor switch protein FliN	HP_1030	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	287
O25068	O25068_HELPY	unreviewed	Flagellin B homolog (Fla)	HP_0295	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	828
O25601	O25601_HELPY	unreviewed	Uncharacterized protein	HP_0947	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	120
O25957	O25957_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_1407	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	292
O25677	O25677_HELPY	unreviewed	Uncharacterized protein	HP_1033	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	131
O25308	O25308_HELPY	unreviewed	Uncharacterized protein	HP_0586	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	977
O25178	O25178_HELPY	unreviewed	Phage/colicin/tellurite resistance cluster terY protein	HP_0428	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	185
O25082	O25082_HELPY	unreviewed	Conserved hypothetical ATP-binding protein	HP_0312	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	321
O25252	O25252_HELPY	unreviewed	Uncharacterized protein	HP_0513	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	658
O25870	O25870_HELPY	unreviewed	Uncharacterized protein	HP_1283	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	485
O25345	O25345_HELPY	unreviewed	Beta-lactamase (EC 3.5.2.6)	HP_0628	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	225
O25293	O25293_HELPY	unreviewed	Ribosome-binding ATPase YchF	ychF HP_0569	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	366
O25124	O25124_HELPY	unreviewed	Short chain alcohol dehydrogenase	HP_0357	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	250
O25401	O25401_HELPY	unreviewed	Uncharacterized protein	HP_0694	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	257
O24995	O24995_HELPY	unreviewed	Uncharacterized protein	HP_0203	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	91
O24871	O24871_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0028	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	177
O24930	O24930_HELPY	unreviewed	2',3'-cyclic-nucleotide 2'-phosphodiesterase (CpdB)	HP_0104	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	581
O25522	O25522_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0851	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	227
O25735	O25735_HELPY	unreviewed	Outer membrane protein (Omp23)	HP_1107	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	230
O25805	O25805_HELPY	unreviewed	Uncharacterized protein	HP_1194	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	28
O26013	O26013_HELPY	unreviewed	DNA helicase (EC 3.6.4.12)	HP_1478	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	682
O25135	O25135_HELPY	unreviewed	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	HP_0371	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	156
O25377	O25377_HELPY	unreviewed	Glycolate oxidase iron-sulfur subunit (EC 1.1.99.14)	HP_0666	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	433
O26030	O26030_HELPY	unreviewed	Uncharacterized protein	HP_1500	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	23
O25172	O25172_HELPY	unreviewed	Uncharacterized protein	HP_0418	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	335
O25875	O25875_HELPY	unreviewed	Uncharacterized protein	HP_1288	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	132
O25305	O25305_HELPY	unreviewed	Uncharacterized protein	HP_0583	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	293
O25155	O25155_HELPY	unreviewed	Metallophos domain-containing protein	HP_0394	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	252
O25574	O25574_HELPY	unreviewed	Iron-regulated outer membrane protein (FrpB)	HP_0916	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	249
O25005	O25005_HELPY	unreviewed	Uncharacterized protein	HP_0217	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	380
O25619	O25619_HELPY	unreviewed	Dynamin_N domain-containing protein	HP_0966	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	549
O25169	O25169_HELPY	unreviewed	Transposase-like protein, PS3IS	HP_0413	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	268
O26078	O26078_HELPY	unreviewed	Cell division protein (FtsI)	HP_1556	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	615
O25041	O25041_HELPY	unreviewed	Uncharacterized protein	HP_0261	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	132
O25877	O25877_HELPY	unreviewed	Nicotinamide riboside transporter PnuC	HP_1290	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	220
O26067	O26067_HELPY	unreviewed	Uncharacterized protein	HP_1542	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	136
O24975	O24975_HELPY	unreviewed	Uncharacterized protein	HP_0168	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	87
O24923	O24923_HELPY	unreviewed	Uncharacterized protein	HP_0097	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	237
O25818	O25818_HELPY	unreviewed	Uncharacterized protein	HP_1219	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	63
O25837	O25837_HELPY	unreviewed	Uncharacterized protein	HP_1239	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	29
O25538	O25538_HELPY	unreviewed	Uncharacterized protein	HP_0868	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	153
O25709	O25709_HELPY	unreviewed	Uncharacterized protein	HP_1076	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	171
O25429	O25429_HELPY	unreviewed	Uncharacterized protein	HP_0729	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	355
O25418	O25418_HELPY	unreviewed	t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE (tRNA threonylcarbamoyladenosine biosynthesis protein TsaE)	HP_0716	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	133
O26044	O26044_HELPY	unreviewed	Uncharacterized protein	HP_1515	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	30
O25465	O25465_HELPY	unreviewed	NMO domain-containing protein	HP_0773	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	363
O25496	O25496_HELPY	unreviewed	Osmoprotection protein (ProWX)	HP_0818	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	553
O25439	O25439_HELPY	unreviewed	UDP-MurNac-pentapeptide presynthetase (MurF)	HP_0740	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	493
O25109	O25109_HELPY	unreviewed	Uncharacterized protein	HP_0342	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	130
O25044	O25044_HELPY	unreviewed	Cytochrome c biogenesis protein (CcdA)	HP_0265	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	240
O25871	O25871_HELPY	unreviewed	Uncharacterized protein	HP_1284	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	346
O25602	O25602_HELPY	unreviewed	Uncharacterized protein	HP_0948	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	337
O24890	O24890_HELPY	unreviewed	Uncharacterized protein	HP_0049	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	330
O25062	O25062_HELPY	unreviewed	DUF4149 domain-containing protein	HP_0288	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	157
O25799	O25799_HELPY	unreviewed	Uncharacterized protein	HP_1187	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	385
O25207	O25207_HELPY	unreviewed	Uncharacterized protein	HP_0460	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	162
O26082	O26082_HELPY	unreviewed	Iron(III) ABC transporter, periplasmic iron-binding protein (CeuE)	HP_1561	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	335
O25999	O25999_HELPY	unreviewed	Uncharacterized protein	HP_1463	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	225
O25072	O25072_HELPY	unreviewed	Dipeptide ABC transporter, ATP-binding protein (DppD)	HP_0301	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	287
O25381	O25381_HELPY	unreviewed	ApeA_NTD1 domain-containing protein	HP_0670	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	449
O24922	O24922_HELPY	unreviewed	Phosphoglycerate dehydrogenase	HP_0096	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	314
O25886	O25886_HELPY	unreviewed	Cation efflux system protein (CzcA)	HP_1328	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	338
O25244	O25244_HELPY	unreviewed	Uncharacterized protein	HP_0503	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	246
O25845	O25845_HELPY	unreviewed	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein (OppA)	HP_1252	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	594
O25192	O25192_HELPY	unreviewed	Uncharacterized protein	HP_0444	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	507
O25905	O25905_HELPY	unreviewed	Protease	HP_1350	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	459
O25112	O25112_HELPY	unreviewed	Uncharacterized protein	HP_0345	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	111
O25454	O25454_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0759	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	417
O24909	O24909_HELPY	unreviewed	Uncharacterized protein	HP_0080	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	593
O25216	O25216_HELPY	unreviewed	Oligoendopeptidase F (PepF)	HP_0470	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	578
O25740	O25740_HELPY	unreviewed	Outer membrane protein (Omp24)	HP_1113	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	277
O25509	O25509_HELPY	unreviewed	Uncharacterized protein	HP_0838	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	205
O25565	O25565_HELPY	unreviewed	Basal-body rod modification protein FlgD	HP_0907	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	301
O25065	O25065_HELPY	unreviewed	LPG_synthase_C domain-containing protein	HP_0292	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	290
O25304	O25304_HELPY	unreviewed	TonB_C domain-containing protein	HP_0582	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	324
O25828	O25828_HELPY	unreviewed	Uncharacterized protein	HP_1230	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	180
O25831	O25831_HELPY	unreviewed	Uncharacterized protein	HP_1233	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	153
O25981	O25981_HELPY	unreviewed	Uncharacterized protein	HP_1440	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	259
O25466	O25466_HELPY	unreviewed	Penta-phosphate guanosine-3'-pyrophosphohydrolase (SpoT)	HP_0775	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	775
O25992	O25992_HELPY	unreviewed	Uncharacterized protein	HP_1453	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	746
G5EB02	G5EB02_HELPY	unreviewed	Type IV secretion system protein	HP_0525	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	330
O26054	O26054_HELPY	unreviewed	Exodeoxyribonuclease III (EC 3.1.11.2)	HP_1526	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	250
O24956	O24956_HELPY	unreviewed	Cytochrome c oxidase, monoheme subunit, membrane-bound (FixO)	HP_0145	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	232
O25684	O25684_HELPY	unreviewed	Response regulator	HP_1043	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	223
O25865	O25865_HELPY	unreviewed	Phosphomannomutase (AlgC)(Pseudomonas aeruginosa)	HP_1275	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	459
O24979	O24979_HELPY	unreviewed	Uncharacterized protein	HP_0174	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	258
O25117	O25117_HELPY	unreviewed	Uncharacterized protein	HP_0350	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	222
O26037	O26037_HELPY	unreviewed	Conserved hypothetical ATP-binding protein	HP_1507	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	385
O25732	O25732_HELPY	unreviewed	Cinnamyl-alcohol dehydrogenase ELI3-2 (Cad)	HP_1104	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	348
O25579	O25579_HELPY	unreviewed	Toxin-like outer membrane protein	HP_0922	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	2529
O25978	O25978_HELPY	unreviewed	Uncharacterized protein	HP_1437	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	239
O24905	O24905_HELPY	unreviewed	Uncharacterized protein	HP_0065	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	117
O25744	O25744_HELPY	unreviewed	Flagellar hook-associated protein 1	HP_1119	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	606
O25742	O25742_HELPY	unreviewed	Beta-lactamase (EC 3.5.2.6)	HP_1117	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	256
O24858	O24858_HELPY	unreviewed	Uncharacterized protein	HP_0013	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	350
O25724	O25724_HELPY	unreviewed	Flagellar basal body protein	HP_1092	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	269
O25049	O25049_HELPY	unreviewed	Uncharacterized protein	HP_0271	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	327
O25079	O25079_HELPY	unreviewed	CN hydrolase domain-containing protein	HP_0309	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	292
O25251	O25251_HELPY	unreviewed	Uncharacterized protein	HP_0511	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	38
O25761	O25761_HELPY	unreviewed	AAA_13 domain-containing protein	HP_1142	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	759
O25802	O25802_HELPY	unreviewed	ADP-heptose-lps heptosyltransferase II (RfaF)	HP_1191	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	349
P96541	P96541_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0467	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	115
O25391	O25391_HELPY	unreviewed	Uncharacterized protein	HP_0681	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	168
O25078	O25078_HELPY	unreviewed	Uncharacterized protein	HP_0308	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	134
O25492	O25492_HELPY	unreviewed	Uncharacterized protein	HP_0812	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	336
O25946	O25946_HELPY	unreviewed	DUF1524 domain-containing protein	HP_1396	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	288
O25974	O25974_HELPY	unreviewed	Uncharacterized protein	HP_1433	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	856
O25541	O25541_HELPY	unreviewed	Uncharacterized protein	HP_0873	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	71
O25416	O25416_HELPY	unreviewed	Uncharacterized protein	HP_0712	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	124
O25366	O25366_HELPY	unreviewed	Alpha-(1,3)-fucosyltransferase (EC 2.4.1.152) (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase)	HP_0651	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	476
O25177	O25177_HELPY	unreviewed	Uncharacterized protein	HP_0425	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	417
O25640	O25640_HELPY	unreviewed	Uncharacterized protein	HP_0992	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	79
O26090	O26090_HELPY	unreviewed	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)	HP_1570	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	164
O25309	O25309_HELPY	unreviewed	Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)	mltG HP_0587	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	329
O25048	O25048_HELPY	unreviewed	DUF374 domain-containing protein	HP_0270	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	162
O25771	O25771_HELPY	unreviewed	Outer membrane protein (Omp25)	HP_1156	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	696
O25953	O25953_HELPY	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HP_1403	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	817
O24903	O24903_HELPY	unreviewed	Uncharacterized protein	HP_0063	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	496
O25667	O25667_HELPY	unreviewed	Uncharacterized protein	HP_1023	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	416
